id_mesa,id_establecimiento,id_centro_de_distribucion,descripcion,ciudadanos_habilitados,extranjera
2915,5071,14,2915,346,NO
2916,5071,14,2916,346,NO
2917,5071,14,2917,346,NO
2918,5071,14,2918,346,NO
2919,5071,14,2919,346,NO
2920,5071,14,2920,346,NO
2921,5071,14,2921,346,NO
2922,5071,14,2922,346,NO
2923,4794,14,2923,344,NO
2924,4794,14,2924,344,NO
2925,4794,14,2925,344,NO
2926,4794,14,2926,344,NO
2927,4794,14,2927,344,NO
2928,4794,14,2928,344,NO
2929,4794,14,2929,344,NO
2930,4794,14,2930,344,NO
2931,4794,14,2931,343,NO
2932,4794,14,2932,343,NO
2933,4794,14,2933,343,NO
2934,4794,14,2934,343,NO
2935,5137,14,2935,343,NO
2936,5137,14,2936,343,NO
2937,5137,14,2937,343,NO
2938,5137,14,2938,343,NO
2939,5137,14,2939,343,NO
2940,5137,14,2940,343,NO
2941,5137,14,2941,343,NO
2942,4051,14,2942,343,NO
2943,4051,14,2943,343,NO
2944,4051,14,2944,343,NO
2945,4051,14,2945,343,NO
2946,4051,14,2946,343,NO
2947,4051,14,2947,343,NO
2948,4783,14,2948,343,NO
2949,4783,14,2949,343,NO
2950,4783,14,2950,343,NO
2951,4783,14,2951,343,NO
2952,4783,14,2952,343,NO
2953,4783,14,2953,343,NO
2954,4783,14,2954,343,NO
2955,4780,14,2955,343,NO
2956,4780,14,2956,343,NO
2957,4780,14,2957,343,NO
2958,4780,14,2958,343,NO
2959,4780,14,2959,343,NO
2960,4780,14,2960,343,NO
2961,4780,14,2961,343,NO
2962,5139,14,2962,346,NO
2963,5139,14,2963,346,NO
2964,5139,14,2964,346,NO
2965,5139,14,2965,346,NO
2966,5139,14,2966,346,NO
2967,5139,14,2967,346,NO
2968,5139,14,2968,346,NO
2969,5139,14,2969,346,NO
2970,5139,14,2970,346,NO
2971,5139,14,2971,346,NO
2972,4737,14,2972,346,NO
2973,4737,14,2973,346,NO
2974,4737,14,2974,346,NO
2975,4737,14,2975,346,NO
2976,4737,14,2976,345,NO
2977,4737,14,2977,345,NO
2978,4737,14,2978,345,NO
2979,4737,14,2979,345,NO
2980,4737,14,2980,345,NO
2981,8864,14,2981,345,NO
2982,8864,14,2982,345,NO
2983,8864,14,2983,345,NO
2984,8864,14,2984,345,NO
2985,8864,14,2985,345,NO
2986,8864,14,2986,345,NO
2987,8864,14,2987,345,NO
2988,8864,14,2988,345,NO
2989,8864,14,2989,345,NO
2990,8864,14,2990,345,NO
2991,8097,14,2991,345,NO
2992,8097,14,2992,345,NO
2993,4117,13,2993,350,NO
2994,4117,13,2994,350,NO
2995,4117,13,2995,350,NO
2996,4117,13,2996,349,NO
2997,4117,13,2997,349,NO
2998,4117,13,2998,349,NO
2999,4117,13,2999,349,NO
3000,4117,13,3000,349,NO
3001,4117,13,3001,349,NO
3002,4117,13,3002,349,NO
3003,4117,13,3003,349,NO
3004,4117,13,3004,349,NO
3005,4117,13,3005,349,NO
3006,4117,13,3006,349,NO
3007,4117,13,3007,349,NO
3008,4117,13,3008,349,NO
3009,4117,13,3009,349,NO
3010,4117,13,3010,349,NO
3011,4117,13,3011,349,NO
3012,4117,13,3012,349,NO
3013,8867,13,3013,349,NO
3014,8867,13,3014,349,NO
3015,8867,13,3015,349,NO
3016,4127,13,3016,349,NO
3017,4127,13,3017,349,NO
3018,4127,13,3018,349,NO
3019,4127,13,3019,349,NO
3020,4127,13,3020,349,NO
3021,4127,13,3021,349,NO
3022,4127,13,3022,349,NO
3023,4122,13,3023,349,NO
3024,4122,13,3024,349,NO
3025,4122,13,3025,349,NO
3026,4122,13,3026,349,NO
3027,4122,13,3027,349,NO
3028,4122,13,3028,349,NO
3029,4122,13,3029,349,NO
3030,4122,13,3030,349,NO
